address,city,submarket,state,property_type,property_class,sale_date,sale_price,price_per_unit,price_per_sf,cap_rate,units,total_sf,year_built,buyer,seller,financing_type,occupancy_at_sale,deal_type,data_source,source_url,notes
1 West End Ave,Manhattan,Upper West Side,NY,multifamily,A,2024-10-15,425000000,1728455,1052,0.0520,246,404000,,Undisclosed,Undisclosed,,,Arms Length,Ariel Property Advisors Q4 2024,,Top NYC transaction 2024
555 Tenth Ave,Manhattan,Midtown West,NY,multifamily,A,2024-09-20,395000000,658333,580,0.0515,600,681000,,Institutional Buyer,Prior Owner,,,Arms Length,Ariel Property Advisors Q4 2024,,Major Hudson Yards area deal
303 East 33rd St,Manhattan,Murray Hill,NY,multifamily,A,2024-08-12,383000000,767535,1161,0.0530,499,330000,,Real Estate Fund,Seller Entity,,,Arms Length,Ariel Property Advisors Q4 2024,,Prime Murray Hill location
95 Wall St,Manhattan,Financial District,NY,multifamily,A,2024-07-18,237000000,467456,765,0.0560,507,310000,,Downtown Investor,Prior Owner,,,Arms Length,Ariel Property Advisors Q4 2024,,Financial District conversion
60 Water St,Brooklyn,DUMBO,NY,multifamily,A,2024-06-25,205000000,561644,675,0.0540,365,304000,,Brooklyn Developer,Seller,,,Arms Length,Ariel Property Advisors Q4 2024,,Waterfront Brooklyn property
The Hamilton,Miami,Downtown Miami,FL,multifamily,A,2024-12-10,190000000,690909,487,0.0500,275,390000,2020,Institutional Investor,Developer,,,Arms Length,MMG Equity Partners Q4 2024,,Premium downtown high-rise
The Point at Lakeside,Miami,West Miami-Dade,FL,multifamily,B,2024-11-15,139250000,395596,347,0.0555,352,401000,2018,Miami Investor Group,Prior Owner,,,Arms Length,MMG Equity Partners Q4 2024,,Suburban Miami-Dade
Palmera,Miami,Dadeland,FL,multifamily,B,2024-10-20,134028285,304609,244,0.0580,440,550000,2016,Real Estate Fund,Seller Entity,,,Arms Length,MMG Equity Partners Q4 2024,,South Miami location
Pura Vida Apartments,Miami,North Miami,FL,multifamily,A,2024-09-12,95000000,365384,276,0.0520,260,344000,2019,Investor,Prior Owner,,,Arms Length,MMG Equity Partners Q4 2024,,North Miami market
Town Aventura,Miami,Aventura,FL,multifamily,A,2024-08-08,82500000,289473,300,0.0510,285,275000,2017,Aventura Investor,Seller,,,Arms Length,MMG Equity Partners Q4 2024,,Luxury Aventura market
245 Park Ave,Manhattan,Midtown,NY,office,A,2024-11-05,1235000000,,706,0.0710,,1750000,1967,SL Green,Prior Owner,,,Arms Length,Manhattan office reports,,Major Midtown trophy
3 Hudson Blvd,Manhattan,Hudson Yards,NY,office,A,2024-09-15,775000000,,760,0.0690,,1020000,2022,Brookfield,Developer,,,Arms Length,Manhattan office reports,,Hudson Yards new development
