market,avg_entitlement_timeline_months,appeal_rate_pct,community_opposition_frequency_pct,impact_fee_per_unit,impact_fee_per_1000_sf_commercial,affordable_housing_requirement_pct,environmental_review_level,design_review_required,public_hearing_required,data_source,analysis_date
"New York City, NY",21,25.1,31.1,20643,8780,0.1,3,Conditional,Yes,Municipal Planning Department,2024-Q3
"Los Angeles, CA",8,32.1,45.3,22400,5622,0.4,2,Conditional,For projects >50 units,Municipal Planning Department,2024-Q3
"San Francisco, CA",15,14.1,50.1,15226,4612,2.6,4,Yes,Yes,Municipal Planning Department,2024-Q3
"Miami, FL",9,16.1,26.6,28849,11024,14.9,4,Yes,For projects >50 units,Municipal Planning Department,2024-Q3
"Chicago, IL",12,17.3,51.1,16771,14789,4.7,5,Yes,Yes,Municipal Planning Department,2024-Q3
"Boston, MA",15,27.6,20.2,29054,2859,14.7,3,Yes,Yes,Municipal Planning Department,2024-Q3
Washington DC,30,25.6,16.5,33722,12991,6.4,2,Conditional,Yes,Municipal Planning Department,2024-Q3
"Seattle, WA",29,10.9,48.4,6580,13800,2.9,5,Yes,Yes,Municipal Planning Department,2024-Q3
"Austin, TX",25,14.8,43.1,11733,13890,17.1,2,Yes,Yes,Municipal Planning Department,2024-Q3
"Denver, CO",29,10.7,35.8,25407,12422,17.5,5,Yes,For projects >50 units,Municipal Planning Department,2024-Q3
"Dallas, TX",27,11.2,19.6,8482,10654,5.0,3,Yes,For projects >50 units,Municipal Planning Department,2024-Q3
"Atlanta, GA",14,17.7,31.4,10255,3145,13.7,3,Conditional,Yes,Municipal Planning Department,2024-Q3
"Phoenix, AZ",18,14.3,15.5,7916,17358,2.8,5,Yes,Yes,Municipal Planning Department,2024-Q3
"Nashville, TN",24,10.0,43.9,34647,6692,16.1,5,Yes,Yes,Municipal Planning Department,2024-Q3
"Charlotte, NC",22,9.4,47.5,33643,3146,21.3,4,Conditional,Yes,Municipal Planning Department,2024-Q3
