address,city,submarket,state,zip_code,property_type,property_class,sale_date,sale_price,price_per_unit,price_per_sf,cap_rate,units,total_sf,lot_size_sf,year_built,year_renovated,num_buildings,num_floors,parking_spaces,noi,gross_potential_rent,occupancy_at_sale,inplace_vs_market_rent_pct,buyer,buyer_type,seller,seller_type,broker,financing_type,ltv,lender,interest_rate,deal_type,special_conditions,data_source,notes
3212 Washington Way,Chicago,River North,IL,67050,industrial,C,2024-10-31,17188130,,30.95,5.65,,555292,874281,2000,2008.0,1,3,1262,,,0.88,,PGIM Real Estate,Developer,HFF,Insurance Company,JLL,assumption,,,,sale-leaseback,ground lease,CBRE Market Report,C class industrial in River North
695 Washington Drive,Los Angeles,Long Beach,CA,80092,multifamily,A,2024-10-29,33496796,103705.0,88.04,4.92,323.0,380494,631981,1987,,3,21,914,1648042.0,2535449.0,0.96,1.04,AvalonBay Communities,REIT,RXR Realty,Pension Fund,Newmark,assumption,,,,stabilized,,Public Records,A class multifamily in Long Beach
8905 Center Drive,Washington,Alexandria,DC,19015,hotel,Limited Service,2024-10-29,67961175,246236.0,410.39,8.76,276.0,165600,385463,2015,2024.0,1,36,427,,,0.62,,PGIM Real Estate,Insurance Company,Prologis,Investment Fund,Colliers,assumption,,,,portfolio,ground lease,Public Records,Limited Service class hotel in Alexandria
7348 Oak Street,Chicago,River North,IL,13082,hotel,Select Service,2024-10-27,55634183,199406.0,341.45,8.84,279.0,162936,330320,2003,,1,30,428,4918061.0,7566247.0,0.75,0.93,Bentall GreenOak,Pension Fund,Boston Properties,Insurance Company,CBRE,bridge loan,,,,stabilized,,CoStar COMPS,Select Service class hotel in River North
628 Washington Street,Dallas,Fort Worth,TX,61841,industrial,A,2024-10-27,73598657,,145.37,5.71,,506281,809646,2021,,1,2,1107,,,0.88,,Nuveen Real Estate,Investment Fund,Tishman Speyer,Sovereign Wealth Fund,CBRE,cash,,,,value-add,LEED certified,CBRE Market Report,A class industrial in Fort Worth
7785 Madison Way,Los Angeles,Santa Monica,CA,14762,mixed-use,A,2024-10-27,273647309,1609690.0,1608.92,6.89,170.0,170081,395133,2004,,1,36,416,,,0.87,,Blackstone,REIT,AvalonBay Communities,Insurance Company,,cash,,,,development,master lease in place,Real Capital Analytics,A class mixed-use in Santa Monica
2811 Main Drive,Los Angeles,Santa Monica,CA,19077,office,A,2024-10-27,190714619,,984.77,6.72,,193665,313138,1985,2020.0,1,40,542,,,0.72,,Hines,Family Office,Related Companies,Sovereign Wealth Fund,Eastdil Secured,financed,0.68,CBRE Capital Markets,7.78,distressed,master lease in place,JLL Research,A class office in Santa Monica
2596 Oak Avenue,New York,Manhattan,NY,21970,office,C,2024-10-27,81379606,,1144.48,6.4,,71106,124555,1981,,1,10,142,,,0.71,,Apollo Global Management,Family Office,SL Green Realty,Private Equity,Newmark,assumption,,,,distressed,ground lease,CoStar COMPS,C class office in Manhattan
2390 Main Street,New York,Manhattan,NY,91625,office,C,2024-10-25,203193969,,421.62,6.6,,481937,820977,2009,,1,32,1223,13410801.0,20632001.0,0.8,0.98,Duke Realty,Private Equity,JLL,Private Equity,Cushman & Wakefield,cash,,,,stabilized,waterfront property,Public Records,C class office in Manhattan
524 Oak Street,Philadelphia,King of Prussia,PA,51751,mixed-use,A,2024-10-25,189844661,604601.0,326.9,7.48,314.0,580738,1158012,1999,,1,8,1481,14200380.0,21846738.0,0.9,0.96,Prologis,Insurance Company,SL Green Realty,REIT,Marcus & Millichap,bridge loan,,,,stabilized,LEED certified,Real Estate Alert,A class mixed-use in King of Prussia
